Starting data loading
I
AM
SO
BORED
Finished data loading
Running 1000000 iteration over 22 epochs
<bound method Tensor.get_shape of <tf.Tensor 'cross_entropy/Mean:0' shape=() dtype=float32>>
(TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None), Dimension(10)]), (TensorShape([Dimension(None), Dimension(80), Dimension(80)]), TensorShape([Dimension(None), Dimension(10)]), TensorShape([Dimension(None)])))
--------------------Running Epoch 0--------------------
acc_raw at iteration   2560 is 0.00
acc_raw at iteration   5120 is 0.02
acc_raw at iteration   7680 is 0.00
acc_raw at iteration  10240 is 0.02
acc_raw at iteration  12800 is 0.33
acc_raw at iteration  15360 is 0.06
acc_raw at iteration  17920 is 0.00
acc_raw at iteration  20480 is 0.06
acc_raw at iteration  23040 is 0.12
acc_raw at iteration  25600 is 0.16
acc_raw at iteration  28160 is 0.78
acc_raw at iteration  30720 is 0.47
acc_raw at iteration  33280 is 0.58
acc_raw at iteration  35840 is 0.00
acc_raw at iteration  38400 is 0.53
acc_raw at iteration  40960 is 0.00
acc_raw at iteration  43520 is 0.41
acc_raw at iteration  46080 is 0.25
acc_raw at iteration  48640 is 0.34
acc_raw at iteration  51200 is 0.12
acc_raw at iteration  53760 is 0.09
acc_raw at iteration  56320 is 0.53
acc_raw at iteration  58880 is 0.25
acc_raw at iteration  61440 is 0.00
acc_raw at iteration  64000 is 0.73
acc_raw at iteration  66560 is 0.27
acc_raw at iteration  69120 is 0.27
acc_raw at iteration  71680 is 0.00
acc_raw at iteration  74240 is 0.00
acc_raw at iteration  76800 is 0.31
acc_raw at iteration  79360 is 0.98
acc_raw at iteration  81920 is 0.33
acc_raw at iteration  84480 is 0.69
acc_raw at iteration  87040 is 0.08
acc_raw at iteration  89600 is 0.36
acc_raw at iteration  92160 is 0.23
acc_raw at iteration  94720 is 0.31
acc_raw at iteration  97280 is 0.00
acc_raw at iteration  99840 is 0.00
acc_raw at iteration 102400 is 0.48
acc_raw at iteration 104960 is 0.53
acc_raw at iteration 107520 is 0.25
acc_raw at iteration 110080 is 0.16
acc_raw at iteration 112640 is 0.22
acc_raw at iteration 115200 is 0.67
acc_raw at iteration 117760 is 0.42
acc_raw at iteration 120320 is 0.03
acc_raw at iteration 122880 is 0.30
acc_raw at iteration 125440 is 0.42
acc_raw at iteration 128000 is 0.27
acc_raw at iteration 130560 is 0.17
acc_raw at iteration 133120 is 0.14
acc_raw at iteration 135680 is 0.59
acc_raw at iteration 138240 is 0.62
acc_raw at iteration 140800 is 0.45
acc_raw at iteration 143360 is 0.77
acc_raw at iteration 145920 is 0.03
acc_raw at iteration 148480 is 0.19
acc_raw at iteration 151040 is 0.45
acc_raw at iteration 153600 is 0.41
acc_raw at iteration 156160 is 0.52
acc_raw at iteration 158720 is 0.00
acc_raw at iteration 161280 is 0.39
acc_raw at iteration 163840 is 0.14
acc_raw at iteration 166400 is 0.75
acc_raw at iteration 168960 is 0.53
acc_raw at iteration 171520 is 0.44
acc_raw at iteration 174080 is 0.33
acc_raw at iteration 176640 is 0.03
acc_raw at iteration 179200 is 0.23
acc_raw at iteration 181760 is 0.22
acc_raw at iteration 184320 is 0.00
acc_raw at iteration 186880 is 0.30
acc_raw at iteration 189440 is 0.62
acc_raw at iteration 192000 is 0.44
acc_raw at iteration 194560 is 0.48
acc_raw at iteration 197120 is 0.33
acc_raw at iteration 199680 is 0.30
acc_raw at iteration 202240 is 0.22
acc_raw at iteration 204800 is 0.88
acc_raw at iteration 207360 is 0.47
acc_raw at iteration 209920 is 0.33
acc_raw at iteration 212480 is 0.02
acc_raw at iteration 215040 is 0.72
acc_raw at iteration 217600 is 0.14
acc_raw at iteration 220160 is 0.42
